Date,Open,High,Low,Close,Adj. Close,Volume
2018-01-02,170.160004,172.300003,169.259995,172.259995,170.30423,25555900
2018-01-03,172.529999,174.550003,171.960007,172.229996,170.274567,29517900
2018-01-04,172.539993,173.470001,172.080002,173.029999,171.065506,22434600
2018-01-05,173.440002,175.369995,173.050003,175.0,173.013123,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,172.370514,20567800
2018-01-09,174.550003,175.059998,173.410004,174.330002,172.350739,21584000
2018-01-10,173.160004,174.300003,173.0,174.289993,172.311188,23959900
2018-01-11,174.589996,175.490005,174.490005,175.279999,173.289948,18667700
2018-01-12,176.179993,177.360001,175.649994,177.089996,175.079391,25226000
2018-01-16,177.899994,179.389999,176.139999,176.190002,174.189636,29565900
2018-01-17,176.149994,179.25,175.070007,179.100006,177.066589,34386800
2018-01-18,179.369995,180.100006,178.25,179.259995,177.224762,31193400
2018-01-19,178.610001,179.580002,177.410004,178.460007,176.433853,32425100
2018-01-22,177.300003,177.779999,176.600006,177.0,174.990433,27108600
2018-01-23,177.300003,179.440002,176.820007,177.039993,175.029968,32689100
2018-01-24,177.25,177.300003,173.199997,174.220001,172.241974,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,169.167297,41529000
2018-01-26,172.0,172.0,170.059998,171.509995,169.562744,39143000
2018-01-29,170.160004,170.160004,167.070007,167.960007,166.053055,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,165.074295,46048200
2018-01-31,166.869995,168.440002,166.5,167.429993,165.529068,32478900
2018-02-01,167.169998,168.619995,166.759995,167.779999,165.875092,47230800
2018-02-02,166.0,166.800003,160.100006,160.5,158.67775,86593800
2018-02-05,159.100006,163.880005,156.0,156.490005,154.713287,72738500
2018-02-06,154.830002,163.720001,154.0,163.029999,161.179016,68243800
2018-02-07,163.089996,163.399994,159.070007,159.539993,157.728638,51608600
2018-02-08,160.289993,161.0,155.029999,155.149994,153.388489,54390500
2018-02-09,157.070007,157.889999,150.240005,156.410004,155.264664,70672600
2018-02-12,158.5,163.889999,157.509995,162.710007,161.518524,60819500
2018-02-13,161.949997,164.75,161.649994,164.339996,163.136581,32549200
2018-02-14,163.039993,167.539993,162.880005,167.369995,166.144394,40644900
2018-02-15,169.789993,173.089996,169.0,172.990005,171.723251,51147200
2018-02-16,172.360001,174.820007,171.770004,172.429993,171.167343,40176100
2018-02-20,172.050003,174.259995,171.419998,171.850006,170.591599,33930500
2018-02-21,172.830002,174.119995,171.009995,171.070007,169.817307,37471600
2018-02-22,171.800003,173.949997,171.710007,172.5,171.236832,30991900
2018-02-23,173.669998,175.649994,173.539993,175.5,174.214859,33812400
2018-02-26,176.350006,179.389999,176.210007,178.970001,177.659454,38162200
2018-02-27,179.100006,180.479996,178.160004,178.389999,177.08371,38928100
2018-02-28,179.259995,180.619995,178.050003,178.119995,176.815674,37782100
2018-03-01,178.539993,179.779999,172.660004,175.0,173.718521,48802000
2018-03-02,172.800003,176.300003,172.449997,176.210007,174.919678,38454000
2018-03-05,175.210007,177.740005,174.520004,176.820007,175.525208,28401400
2018-03-06,177.910004,178.25,176.130005,176.669998,175.376297,23788500
2018-03-07,174.940002,175.850006,174.270004,175.029999,173.748306,31703500
2018-03-08,175.479996,177.119995,175.070007,176.940002,175.644318,23774100
2018-03-09,177.960007,180.0,177.389999,179.979996,178.662048,32185200
2018-03-12,180.289993,182.389999,180.210007,181.720001,180.389313,32207100
2018-03-13,182.589996,183.5,179.240005,179.970001,178.65213,31693500
2018-03-14,180.320007,180.520004,177.809998,178.440002,177.133331,29368400
2018-03-15,178.5,180.240005,178.070007,178.649994,177.341782,22743800
2018-03-16,178.649994,179.119995,177.619995,178.020004,176.716415,39404700
2018-03-19,177.320007,177.470001,173.660004,175.300003,174.016342,33446800
2018-03-20,175.240005,176.800003,174.940002,175.240005,173.956772,19649400
2018-03-21,175.039993,175.089996,171.259995,171.270004,170.015839,36338100
2018-03-22,170.0,172.679993,168.600006,168.850006,167.613556,41490800
2018-03-23,168.389999,169.919998,164.940002,164.940002,163.732193,41028800
2018-03-26,168.070007,173.100006,166.440002,172.770004,171.504868,37541200
2018-03-27,173.679993,175.149994,166.919998,168.339996,167.1073,40922600
2018-03-28,167.25,170.020004,165.190002,166.479996,165.26091,41668500
2018-03-29,167.809998,171.75,166.899994,167.779999,166.551392,38398500
2018-04-02,166.639999,168.940002,164.470001,166.679993,165.459442,37586800
2018-04-03,167.639999,168.75,164.880005,168.389999,167.156921,30278000
2018-04-04,164.880005,172.009995,164.770004,171.610001,170.353363,34605500
2018-04-05,172.580002,174.229996,172.080002,172.800003,171.534637,26933200
2018-04-06,170.970001,172.479996,168.199997,168.380005,167.147018,35005300
2018-04-09,169.880005,173.089996,169.850006,170.050003,168.804779,29017700
2018-04-10,173.0,174.0,171.529999,173.25,171.981339,28408600
2018-04-11,172.229996,173.919998,171.699997,172.440002,171.177277,22431600
2018-04-12,173.410004,175.0,173.039993,174.139999,172.864822,22889300
2018-04-13,174.779999,175.839996,173.850006,174.729996,173.4505,25124300
2018-04-16,175.029999,176.190002,174.830002,175.820007,174.532532,21578400
2018-04-17,176.490005,178.940002,176.410004,178.240005,176.934799,26509000
2018-04-18,177.809998,178.820007,176.880005,177.839996,176.53772,20754500
2018-04-19,173.759995,175.389999,172.660004,172.800003,171.534637,34808800
2018-04-20,170.600006,171.220001,165.429993,165.720001,164.50647,65491100
2018-04-23,166.830002,166.919998,164.089996,165.240005,164.029999,36515500
2018-04-24,165.669998,166.330002,161.220001,162.940002,161.746841,33692000
2018-04-25,162.619995,165.419998,162.410004,163.649994,162.45163,28382100
2018-04-26,164.119995,165.729996,163.369995,164.220001,163.017471,27963000
2018-04-27,164.0,164.330002,160.630005,162.320007,161.131378,35655800
2018-04-30,162.130005,167.259995,161.839996,165.259995,164.049835,42427400
2018-05-01,166.410004,169.199997,165.270004,169.100006,167.861725,53569400
2018-05-02,175.229996,177.75,173.800003,176.570007,175.277039,66539400
2018-05-03,175.880005,177.5,174.440002,176.889999,175.594681,34068200
2018-05-04,178.25,184.25,178.169998,183.830002,182.483856,56201300
2018-05-07,185.179993,187.669998,184.75,185.160004,183.804123,42451400
2018-05-08,184.990005,186.220001,183.669998,186.050003,184.687607,28402800
2018-05-09,186.550003,187.399994,185.220001,187.360001,185.988022,23211200
2018-05-10,187.740005,190.369995,187.649994,190.039993,188.648392,27989300
2018-05-11,189.490005,190.059998,187.449997,188.589996,187.930908,26212200
2018-05-14,189.009995,189.529999,187.860001,188.149994,187.492432,20778800
2018-05-15,186.779999,187.070007,185.100006,186.440002,185.788422,23695200
2018-05-16,186.070007,188.460007,186.0,188.179993,187.522324,19183100
2018-05-17,188.0,188.910004,186.360001,186.990005,186.336502,17294000
2018-05-18,187.190002,187.809998,186.130005,186.309998,185.658875,18297700
2018-05-21,188.0,189.270004,186.910004,187.630005,186.974258,18400800
2018-05-22,188.380005,188.880005,186.779999,187.160004,186.505905,15240700
2018-05-23,186.350006,188.5,185.759995,188.360001,187.701706,20058400
2018-05-24,188.770004,188.839996,186.210007,188.149994,187.492432,23234000
2018-05-25,188.229996,189.649994,187.649994,188.580002,187.920944,17461000
2018-05-29,187.600006,188.75,186.869995,187.899994,187.243317,22514100
2018-05-30,187.720001,188.0,186.779999,187.5,186.844711,18690500
2018-05-31,187.220001,188.229996,186.139999,186.869995,186.216904,27482800
2018-06-01,187.990005,190.259995,187.75,190.240005,189.57515,23442500
2018-06-04,191.639999,193.419998,191.350006,191.830002,191.159576,26266200
2018-06-05,193.070007,193.940002,192.360001,193.309998,192.634399,21566000
2018-06-06,193.630005,194.080002,191.919998,193.979996,193.302063,20933600
2018-06-07,194.139999,194.199997,192.339996,193.460007,192.78389,21347200
2018-06-08,191.169998,192.0,189.770004,191.699997,191.030029,26656800
2018-06-11,191.350006,191.970001,190.210007,191.229996,190.561676,18308500
2018-06-12,191.389999,192.610001,191.149994,192.279999,191.608002,16911100
2018-06-13,192.419998,192.880005,190.440002,190.699997,190.033524,21638400
2018-06-14,191.550003,191.570007,190.220001,190.800003,190.133179,21610100
